Sample_ID,taxon
403155,Arctogadus glacialis
403157,Arctogadus glacialis
403173,Arctogadus glacialis
403175,Arctogadus glacialis
403177,Arctogadus glacialis
370353,Boreogadus saida
370367,Boreogadus saida
371048,Boreogadus saida
370295,Boreogadus saida
370250,Boreogadus saida
403668,Eleginus gracilis
415621,Eleginus gracilis
372060,Microgadus proximus
372079,Microgadus proximus
372080,Microgadus proximus
372085,Microgadus proximus
19977,Gadus chalcogrammus
19978,Gadus chalcogrammus
19925,Gadus chalcogrammus
19926,Gadus chalcogrammus
19927,Gadus chalcogrammus
15285,Gadus chalcogrammus
15286,Gadus chalcogrammus
15289,Gadus chalcogrammus
15290,Gadus chalcogrammus
15291,Gadus chalcogrammus
12663,Gadus chalcogrammus
12664,Gadus chalcogrammus
12665,Gadus chalcogrammus
12842,Gadus chalcogrammus
12848,Gadus chalcogrammus
12877,Gadus chalcogrammus
10920,Gadus macrocephalus
10496,Gadus macrocephalus
2928,Gadus macrocephalus
24930,Gadus macrocephalus
2239,Gadus macrocephalus
10718,Gadus macrocephalus
20749,Gadus macrocephalus
1978,Gadus macrocephalus
2160,Gadus macrocephalus
19810,Gadus macrocephalus
2087,Gadus macrocephalus
2509,Gadus macrocephalus
2143,Gadus macrocephalus
10458,Gadus macrocephalus
2640,Gadus macrocephalus
25346,Gadus macrocephalus
ABLG_34752,Oncorhynchus gorbuscha
ABLG_34753,Oncorhynchus gorbuscha
ABLG_34754,Oncorhynchus gorbuscha
ABLG_34755,Oncorhynchus gorbuscha
ABLG_39451,Oncorhynchus gorbuscha
ABLG_39452,Oncorhynchus gorbuscha
ABLG_39453,Oncorhynchus gorbuscha
ABLG_39454,Oncorhynchus gorbuscha
ABLG_34220,Oncorhynchus gorbuscha
ABLG_34221,Oncorhynchus gorbuscha
ABLG_34225,Oncorhynchus gorbuscha
ABLG_34226,Oncorhynchus gorbuscha
ABLG_32506,Oncorhynchus gorbuscha
ABLG_32507,Oncorhynchus gorbuscha
ABLG_32508,Oncorhynchus gorbuscha
ABLG_32509,Oncorhynchus gorbuscha
ABLG_43433,Oncorhynchus nerka
ABLG_43434,Oncorhynchus nerka
ABLG_43435,Oncorhynchus nerka
ABLG_43436,Oncorhynchus nerka
ABLG_43481,Oncorhynchus nerka
ABLG_43482,Oncorhynchus nerka
ABLG_43483,Oncorhynchus nerka
ABLG_43484,Oncorhynchus nerka
ABLG_43528,Oncorhynchus nerka
ABLG_43529,Oncorhynchus nerka
ABLG_43530,Oncorhynchus nerka
ABLG_43531,Oncorhynchus nerka
ABLG_43576,Oncorhynchus nerka
ABLG_43577,Oncorhynchus nerka
ABLG_43578,Oncorhynchus nerka
ABLG_43579,Oncorhynchus nerka
CMPROSCR17_1417,Oncorhynchus keta
CMPROSCR17_1418,Oncorhynchus keta
CMPROSCR17_1419,Oncorhynchus keta
CMPROSCR17_1420,Oncorhynchus keta
CMPROSCR17_1421,Oncorhynchus keta
CMPROSCR17_1422,Oncorhynchus keta
CMPROSCR17_1423,Oncorhynchus keta
CMPROSCR17_1424,Oncorhynchus keta
CMFISHCR23_3946,Oncorhynchus keta
CMFISHCR23_3947,Oncorhynchus keta
CMFISHCR23_3960,Oncorhynchus keta
CMFISHCR23_3966,Oncorhynchus keta
CMFISHCR23_3979,Oncorhynchus keta
CMFISHCR23_3982,Oncorhynchus keta
CMFISHCR23_4021,Oncorhynchus keta
CMFISHCR23_4030,Oncorhynchus keta
