"Sample_ID","biological_replicate","extraction_ID","extraction_replicate","run","collection_year","collection_month","collection_day","location1","longitude","latitude","sample_type","time_of_day","Anoplarchus","Clupea pallasii","Cymatogaster aggregata","Hypomesus pretiosus","Lumpenus sagitta","Oligocottus","Podothecus accipenserinus","Syngnathus leptorhynchus","Ammodytes personatus","Gasterosteus aculeatus","Microgadus proximus","Oncorhynchus nerka","Pholis laeta","Hexagrammos","Oncorhynchus keta","Salvelinus","Synchirus gilli","Artedius lateralis","Enophrys bison","Gadus macrocephalus","Lepidopsetta","Leptocottus armatus","Liparis greeni","Oncorhynchus kisutch","Citharichthys stigmaeus","Myoxocephalus","Hexagrammos decagrammus","Oncorhynchus gorbuscha","Oncorhynchus tshawytscha","Clinocottus acuticeps","Platichthys stellatus","Sebastes","Brachyistius frenatus","Hemilepidotus hemilepidotus","Leptoclinus maculatus","Phytichthys chirus","Bathymaster","Aptocyclus ventricosus","Eleginus gracilis","Gadus chalcogrammus","Hippoglossoides elassodon","Limanda aspera","Mallotus villosus","Hippoglossus stenolepis","Xiphister","NA","Artedius fenestralis","Trichodon trichodon","Ronquilus jordani","Apodichthys flavidus","Anarrhichthys ocellatus","Bathymaster caeruleofasciatus","Enophrys diceraus","Sebastolobus","Hemilepidotus jordani","Ophiodon elongatus","Aulorhynchus flavidus","Nautichthys oculofasciatus","Blepsias bilobus","Microstomus pacificus","Agonidae_1","Artedius harringtoni","Clinocottus globiceps","Scorpaenichthys marmoratus","Pleuronichthys coenosus","Liparis cyclopus","Clinocottus embryum","Stichaeus punctatus","Thaleichthys pacificus","Pleuronectidae_1","Rhinogobiops nicholsii","Citharichthys sordidus","Sardinops sagax","Anoplopoma fimbria","Oncorhynchus mykiss","Liparis mucosus","Atheresthes","Liparis florae","Agonopsis vulsa","Gymnocanthus galeatus","Zaprora silenus","Liparis pulchellus","Stenobrachius leucopsarus","Blepsias cirrhosus","Bothragonus swanii","Thunnus","Pleuronectes quadrituberculatus","Liparis fucensis"
"e00373-A","e00373","e00373",1,"A",2021,6,19,"2",-135.329,56.9124,"sample","19:59",0.0600074543421543,0.729966455460306,0.150577711516959,0.000372717107715244,0.000559075661572866,0.0218971300782706,9.3179276928811e-05,0.0365262765560939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00374-A","e00374","e00374",1,"A",2021,6,19,"2",-135.329,56.9124,"sample","19:59",0.0354505169867061,0.774875788908285,0.0808379213105949,0,0,0,0,0,0.0207466093729018,0.0337719887202901,0.029676379750235,0.000537129045253122,0.0241036659057339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00375-A","e00375","e00375",1,"A",2021,6,19,"2",-135.329,56.9124,"sample","19:59",0.0896211324893743,0.855491065307801,0.0209771034230611,0,0,0,0,0.000137105251131118,0,0,0,0.0102828938348339,0,0.0228965769388968,0.000457017503770394,9.14035007540789e-05,4.57017503770394e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00376-A","e00376","e00376",1,"A",2021,6,19,"1",-135.45,57.0923,"sample","12:01",0,0.269403807764503,0.204063999046569,0,0,0,0,0,0,0,0,0,0,0.000327741858594285,0,0,0,0.0492208682179781,0.149837618806424,0.176742245925573,0.000119178857670649,0.150165360665018,2.97947144176623e-05,8.93841432529869e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00377-A","e00377","e00377",1,"A",2021,6,19,"1",-135.45,57.0923,"sample","12:01",0,0.176275796818639,0.416001419194607,0,0,0,0,0,0.099402755602862,0,0,0,0.000591331086275205,0.000177399325882562,0,0,0,0,0,0.147891904677429,0,0,0,0.000295665543137603,0.15930459464254,5.91331086275206e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00378-A","e00378","e00378",1,"A",2021,6,19,"1",-135.45,57.0923,"sample","12:01",0.0962239736501588,0.20132925538172,0.214327726149865,0,0,0,0,0,0.0432302082107987,0,0,0,0,0,0,0,0,0,0,0.235736972120927,0,0.0533466650982237,0,0.0494647688507234,0.105575814610046,0,0.000764615927537937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00379-A","e00379","e00379",1,"A",2021,6,20,"3",-135.781,57.3259,"sample","13:06",0,0.424792258335963,0.134953192384559,0,0.0611654570316609,0,0,0.018986010308194,0,0.0341853371200168,0,0,0.0744714420952982,0.000578521089723362,0.0619543494267382,0.0102030083096666,0,0,0,0.165351846008204,0,0,0,0,0,0,0.000315556958030925,0.000105185652676975,0.0129378352792679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00380-A","e00380","e00380",1,"A",2021,6,20,"3",-135.781,57.3259,"sample","13:06",0.0673660596463447,0.228028503562945,0.285365531802586,0,0.0327263130113486,0,0,0,0,0,0,0,0.0719846925310108,0.0222354183161784,0.029955133280549,0.0636711533386118,0,0,0,0.110187384534178,0,0.000527843758247559,0,0,0,0,0.034639746634996,0,0,6.59804697809448e-05,0.00013196093956189,0.0531142781736606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00381-A","e00381","e00381",1,"A",2021,6,20,"3",-135.781,57.3259,"sample","13:06",0.0352668701968628,0.390777976629119,0.173421763694424,0,0.0278976734393094,0,0,0,0,0,0,0,0.0680773414745412,0,0.0127732743797593,0.0262483770221427,0,0,0,0.105870793416851,0,0,0.000175457065656034,0,0,0,0,3.50914131312068e-05,0,0,0,0.0730252307260413,0.0614450643927431,0.0249850861494192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00382-A","e00382","e00382",1,"A",2021,6,20,"4",-135.782,57.3253,"sample","13:50",0.0582461205341032,0.64290869722122,0.00010826416456153,0,0,0.000288704438830747,0,0,0.0275351858534825,0,0,0,0.107470227354746,0.00021652832912306,0.0276795380728979,0,0,0,0,0.0738361602309636,0,0.0378202814868279,0,0,0,0.0228437387224829,0.000360880548538434,0,0,0,0,0.000288704438830747,0,0.00010826416456153,0.000252616383976904,3.60880548538434e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00383-A","e00383","e00383",1,"A",2021,6,20,"4",-135.782,57.3253,"sample","13:50",0,0.737193817456311,0,0,0,0,0,0,0,0.0330040143265787,0,0.000408644022980217,0.0733395831830966,0.0131967981538905,0,0,0,0,0,0,0,0.131415110213697,0,0,0,0,0,0,0.0114179947597414,0,0,0,0,0,0,0,2.40378837047186e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00384-A","e00384","e00384",1,"A",2021,6,20,"4",-135.782,57.3253,"sample","13:50",0.097424412094065,0.657402015677492,0.0815229563269877,0,0.0267189249720045,0,0,0,0,0,0,0,0.11518477043673,4.47928331466965e-05,0,0,0,0,0,0.0103471444568869,0,0.0111982082866741,0,0,0,0,0.000156774916013438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00385-A","e00385","e00385",1,"A",2021,6,22,"8",-148.176,59.9684,"sample","16:50",0.047973378934233,0,0,0,0,0,0,0,0.175809955169386,0,0,0,0.0250034662846051,0.051254795027037,0,0,0,0,0,0.000231085640338309,0,4.62171280676619e-05,0,0,0,0,0.00115542820169155,0.190091047742293,0,0,0,0,0,0,0,0,4.62171280676619e-05,0.025419420437214,0.0569857189074271,0.326246707029625,0.0424735406941813,0.038822387576836,0.0184406340989971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00386-A","e00386","e00386",1,"A",2021,6,22,"8",-148.176,59.9684,"sample","16:50",0,0,0.04178911746371,0,0,0,0,0,0.063117819930537,0,0,0,0,0.160922611096269,0.00870513848071957,0,0,0,0,0.366172410722237,0,0,0,0,6.67913438418381e-05,0.0470878974084959,0,0.31213821355419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00387-A","e00387","e00387",1,"A",2021,6,22,"8",-148.176,59.9684,"sample","16:50",0,0,0,0,0,0,0,0,0.285794206622187,0,0,0,2.07202353818739e-05,0.0692884671169865,0,0,0,0,0,0,0,0,0,0,0,0,0.0444449048941196,0.188015415855124,0,0.0470349343168538,0,0,0,0,0,0,0,0,0.031722680369649,0.169926650366748,0.0161825038332435,0.0730802701918694,0,0.0744892461978368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00388-A","e00388","e00388",1,"A",2021,6,22,"7",-148.18,59.9795,"sample","15:17",0.100571709596115,0.0850187496157866,0,0.000122948300239749,0,0.187004364664659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000368844900719248,0.167025265875699,0,0,0,0,0,0.145816684084343,0,0,0,0,0,0,0,0,0,0,0.314071432962439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00389-A","e00389","e00389",1,"A",2021,6,22,"7",-148.18,59.9795,"sample","15:17",0,0,0.120558294385044,0,0,0.000128049170881619,0,0,0,0,0,0,0.0834880594148153,0.211857353223638,0,0,0,0,0,0.270631922658301,0,0,0,0,0,0,0.120942441897689,0.190793264613612,0,0,0,0,0,0,0,0,0,0,0,0.00153659005057942,0,0,6.40245854408093e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00390-A","e00390","e00390",1,"A",2021,6,22,"7",-148.18,59.9795,"sample","15:17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00391-A","e00391","e00391",1,"A",2021,6,23,"9",-147.993,60.117,"sample","8:29",0.0310442555046872,0.186352735993024,0.0361020274689339,0,0,0,0,0,0,0,0,0,0.0413778068454327,0,0,0.000218007412252017,0,0,0.000218007412252017,0.0304338347503815,0,0.0149989099629387,0,0,0,0,0,0.659080008720296,0,0,0,0,0,0,0,0,0.000174405929801613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00392-A","e00392","e00392",1,"A",2021,6,23,"9",-147.993,60.117,"sample","8:29",0,0.785300960448607,0,0,0,0,0,0,0,0,0,0,0,0.000775517508799141,0,0,0,0,0,0.000417586350891845,0,0.000715862315814592,0,0,0,0,0,0.212790073375887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00393-A","e00393","e00393",1,"A",2021,6,23,"9",-147.993,60.117,"sample","8:29",0.099161967662544,0.108539206828873,0,0,0,0,0,0,0,0,0,0,0.134396710177887,0,0.271348017072183,0,0,3.11536184927879e-05,0,0.043926602074831,0,0,0,0,0,0.142403190130534,0.00015576809246394,0.00470419639241098,0,0.000186921710956728,0,0,0,0,0,0,0,0,0.194928190909374,0.000218075329449516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00394-A","e00394","e00394",1,"A",2021,6,23,"10",-147.99,60.117,"sample","9:15",0.0352613240418118,0.0851010452961672,0,0,0,0,0,0,0,0,0,0,0.0795261324041812,0.000222996515679442,0.0258675958188153,2.78745644599303e-05,0,0,0,0.00142160278745645,0,0.563400696864112,0.000334494773519164,0,0,0.0120418118466899,0,0.00320557491289199,0,0,0,0,0,0,0,0,0,0,0.0342578397212544,0.125797909407665,0,0,0,0,0,0,0.0332264808362369,0.000306620209059233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00396-A","e00396","e00396",1,"A",2021,6,23,"10",-147.99,60.117,"sample","9:15",0.0448516537548269,0.0712829491761207,0,0,0,0.00846664907778284,0,0,0,0,0,0.0010073633463651,0.13246828004701,0.0253759623917684,0.147818578658288,0.00016789389106085,0,0,0,0,0,0.464010745209028,0,0,0,0.0301729307077927,0,0,0,0.0502962127935145,0,0,0,0,0,0,0,0,0,0.0240807809464418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e00397-A","e00397","e00397",1,"A",2021,6,23,"10",-147.99,60.117,"sample","9:15",0.087862855450237,0.156398104265403,0,0,0,0.0177354857819905,0,0.0285100710900474,0.000185130331753554,0,0,0,0.0271030805687204,0.0290654620853081,0.116817239336493,7.40521327014218e-05,0,0,0,0.225710900473934,0,0.24426095971564,0,0,0,0,0.000444312796208531,0,0,0,0,0.000148104265402844,0,0,0,0,7.40521327014218e-05,0.000111078199052133,0,0.00122186018957346,0,0.0243261255924171,0.000111078199052133,0,0,0,0.0138107227488152,0,0.0260293246445498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
