"","qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"1","ASV_0001","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Gadus"
"2","ASV_0001","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Gadus"
"3","ASV_0002","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Clupea pallasii"
"4","ASV_0003","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Oncorhynchus gorbuscha"
"5","ASV_0004","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Ammodytes personatus"
"6","ASV_0005","Hexagrammos lagocephalus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Hexagrammos"
"7","ASV_0005","Hexagrammos octogrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Hexagrammos"
"8","ASV_0005","Hexagrammos stelleri","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Hexagrammos"
"9","ASV_0006","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Pholis laeta"
"10","ASV_0007","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"species","Gadus chalcogrammus"
"11","ASV_0008","Anoplarchus insignis","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Anoplarchus"
"12","ASV_0008","Anoplarchus purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Anoplarchus"
"13","ASV_0009","Cottus aleuticus","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"14","ASV_0009","Cottus bairdii","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"15","ASV_0009","Cottus beldingii","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"16","ASV_0009","Cottus bendirei","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"17","ASV_0009","Cottus cognatus","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"18","ASV_0009","Cottus confusus","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"19","ASV_0009","Cottus gulosus","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"20","ASV_0009","Cottus perplexus","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"21","ASV_0009","Cottus pitensis","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"22","ASV_0009","Cottus rhotheus","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Cottus"
"23","ASV_0010","Xiphister atropurpureus","Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Xiphister"
